,strasse,size,start_datum,end_datum,merge_index,start,ende,strasse_geodaten,lat,lon,_merge
13,Danzigerstraße,3.0,2022-05-17 10:00:00,2022-08-01 11:30:00,9,2022-05-16,2022-07-04,Danziger Straße,47.68182396393031,9.181779350982026,both
14,Danzigerstraße,3.0,2022-05-17 10:00:00,2022-08-01 11:30:00,9,2022-07-04,2022-08-01,Danziger Straße,47.68182396393031,9.181779350982026,both
15,Eichhornstraße,4.0,2022-02-16 14:00:00,2022-12-31 23:30:00,10,2022-02-16,2022-05-02,Eichhornstraße,47.6695673325974,9.189712928390668,both
16,Feuersteinstraße,13.0,2022-01-21 10:00:00,2022-03-29 09:30:00,11,2022-01-21,2022-03-29,Feursteinstraße,47.690595869086216,9.133296771429633,both
17,Friedrichstraße,5.0,2022-10-11 00:00:00,2022-12-12 14:30:00,12,2022-10-10,2022-12-12,Friedrichstraße,47.67993896433411,9.184314131315777,both
18,Fürstenbergstraße,11.0,2022-01-01 00:00:00,2022-10-10 11:30:00,13,2022-09-26,2022-10-10,Fürstenbergstraße,47.68655327804412,9.151479920914356,both
19,Gottlieberstraße,3.0,2022-10-10 11:00:00,2022-12-31 23:30:00,14,,,,,,left_only
20,Grenzbachstraße,11.0,2022-03-04 10:00:00,2022-04-25 10:00:00,15,,,,,,left_only
21,Gustav-Schwab-Straße,2.0,2022-01-01 00:30:00,2022-01-04 12:00:00,16,2021-12-06,2022-01-04,Gustav-Schwab-Straße,47.67268718245506,9.177947389044874,both
22,Hermann-von-Vicari-Straße,9.0,2022-11-28 14:30:00,2022-12-31 23:30:00,17,,,,,,left_only
