start,ende,strasse,geschwindigkeit,hausnummer,fahrtrichtung,reichweite,akkuwechsel,anmerkung1,anmerkung2,hausnummer_geodaten,hausnummer_zusatz,strasse_geodaten,id_strasse,id_standort,lat_geodaten,lon_geodaten,lat_osm,lon_osm
03.03.2021,03.05.2021,Bruder-Klaus-Straße,,14,von-Emmich-Str,100.0,,,,,,Bruder-Klaus-Straße,77420,,47.67354933947976,9.172637855830128,47.67344892740524,9.172605249695224
09.03.2021,01.04.2021,Flurweg/Egg,,5,Wolfsried,30.0,,,Viasis,,,Flurweg,77833,,47.69208274097206,9.19267402038159,47.69216450703387,9.192616744810527
09.03.2021,03.05.2021,Schneckenburgstraße ,,33,Friedhof,50.0,,,,,,Schneckenburgstraße,79520,,47.677164559781296,9.172854684405412,47.67709790064129,9.172942759788368
23.03.2021,26.04.2021,Riedstraße,,19,Fuersenbergstr.,40.0,,,,,,Riedstraße,79303,,47.68516439209556,9.147957531017855,47.68524421986284,9.147820761633312
23.03.2021,14.06.2021,Untere Laube,,2,Rheinsteig,40.0,,,,,,Untere Laube,79898,,47.6655300364462,9.173712690966072,47.66544618762144,9.173822876921683
23.03.2021,31.05.2021,Radolfzellerstraße,,19,Ortsausgang,40.0,,,,,,Radolfzeller Straße,79184,,47.690377589348365,9.14681303816386,47.69045994058649,9.146848534971731
01.04.2021,26.04.2021,Flurweg/Egg,,5,Auswaerts,30.0,,,Viasis,,,Flurweg,77833,,47.69208274097206,9.19267402038159,47.69216450703387,9.192616744810527
06.04.2021,03.05.2021,Hebelstraße,,14,Eichhornstrasse,40.0,,,Viasis,,,Hebelstraße,78197,,47.669934691155255,9.193182471567557,47.67004409661738,9.193032867886394
26.04.2021,21.06.2021,Radolfzellerstraße,,65,Stadteinwaerts,50.0,,,,,,Radolfzeller Straße,79184,,47.69350977989437,9.143605650058308,47.693624947446025,9.143645220870615
26.04.2021,31.05.2021,Gartenstraße,,24,Untere Laube,40.0,,,Viasis,,,Gartenstraße,77938,,47.66563222225495,9.170431697737188,47.665554351496525,9.170423358062864
26.04.2021,21.06.2021,Friedrichstraße,,71,Universitaetsstr.,80.0,,,,,,Friedrichstraße,77889,,47.67978738589899,9.18419143612127,47.67988620910961,9.184347530583118
