start,ende,strasse,geschwindigkeit,hausnummer,fahrtrichtung,reichweite,akkuwechsel,anmerkung1,anmerkung2,hausnummer_geodaten,hausnummer_zusatz,strasse_geodaten,id_strasse,id_standort,lat_geodaten,lon_geodaten,lat_osm,lon_osm
05.06.2023,08.08.2023,Radolfzellerstraße,,38,Ortsausgang,50.0,,,,,,Radolfzeller Straße,79184,,47.69167357410936,9.14613995954122,47.69169058587258,9.14601321255812
05.06.2023,26.06.2023,Gustav-Schwab-Straße,,9,Schneckenburg-Str.,50.0,,,,,,Gustav-Schwab-Straße,78078,,47.674754872778,9.172384581939674,47.67481874165117,9.172405244520428
26.06.2023,08.08.2023,Am Pfeiferhölzle,,2,Universitaetsstr.,50.0,,,,,,Am Pfeiferhölzle,77101,,47.68302690664336,9.178040518016294,47.68288886931228,9.178167503777145
03.07.2023,28.08.2023,Gottlieber Straße,,15,Schulthaissstr.,50.0,,,29.08.2023,,,Gottlieber Straße,78015,,47.661933202032905,9.16839865468497,47.66206723587671,9.168415797991893
03.07.2023,22.08.2023,Kamorstraße,,2,Eichhornstrasse,30.0,,,28.08.2023,,,Kamorstraße,78456,,47.66841889592149,9.187951908737404,47.66851826338766,9.18776093500335
03.07.2023,28.08.2023,Bachgasse/Egg,,10,Hafen,30.0,,,,,,Bachgasse,77210,,47.69334028849723,9.194202711607234,47.69338818318183,9.19414710412752
10.07.2023,22.08.2023,Alter Graben,,7,Schweiz,50.0,,,,,,Alten Graben,77042,,47.6611278290164,9.163726944923608,47.66123565925213,9.163786665843851
17.07.2023,10.08.2023,Obere Laube,,73,Untere Laube,50.0,,,20.09.2023,,,Obere Laube,79065,,47.65957725589234,9.171122919698997,47.65962871908613,9.171055731640438
17.07.2023,05.09.2023,Fuerstenbergstraße,,54,Wollmatingerstr.,50.0,,,05.09.2023,,,Fürstenbergstraße,77910,,47.6850035853545,9.154524701251724,47.68508936107714,9.154578722378144
17.07.2023,28.08.2023,Hermann-von-Vicari-Straße,,25,Mainaustr.,50.0,,,29.08.2023,,,Hermann-von-Vicari-Straße,78225,,47.67380787449985,9.20281169994511,47.67372099752365,9.20292604125572
19.07.2023,15.08.2023,Bagnatosteig,30,20,Dingelsdorf,50.0,,19.07.23 Daten gezogen,20.09.2023,20,a,Bagnatosteig,77212,77212020a,0,0,47.727847,9.156271
24.07.2023,15.08.2023,Zellerstraße,,15,Langenrainerstr.,50.0,,,20.09.2023,,,Zellerstraße,80062,,47.737877000728766,9.11010477775562,47.738001459530686,9.110071406535988
24.07.2023,05.09.2023,Eichhornstraße,,56,Mainaustr.,50.0,,,05.09.2023,,,Eichhornstraße,77672,,47.666476176354,9.198647166322798,47.667047096365366,9.198814681775184
24.07.2023,05.09.2023,Stifterstraße ,,16,Gabelsbergerstr.,50.0,,,05.09.2023,,,Stifterstraße,79765,,47.68794586521907,9.153693086954377,47.68808192129527,9.153727691462048
08.08.2023,25.09.2023,Am Pfeiferhölzle,,18,Stockackerweg,50.0,,,21.11.2023,,,Am Pfeiferhölzle,77101,,47.68251298641451,9.173737351857357,47.6826545732775,9.17376542155614
08.08.2023,25.09.2023,Hofhalde,,4,Wessenbergstr.,30.0,,,17.11.2023,,,Hofhalde,78267,,47.66235887692731,9.176661111960724,47.662312979608885,9.176641341752177
10.08.2023,18.09.2023,Obere Laube,,40,Doebele,50.0,,,,,,Obere Laube,79065,,47.66049462262055,9.171211022580168,47.6604350744311,9.171301772236676
15.08.2023,22.08.2023,Oberdorfstraße,,24,Litzestetten,50.0,,,20.09.2023,,,Oberdorfstraße,79088,,47.7287145397861,9.15552304734369,47.72866495960857,9.155465154023954
15.08.2023,11.09.2023,Zellerstraße,,15,Ortsausgang,30.0,,,20.09.2023,,,Zellerstraße,80062,,47.737877000728766,9.11010477775562,47.738001459530686,9.110071406535988
22.08.2023,25.09.2023,Heinrich-v.-Tettingen-Straße,,2,Hafen,50.0,,,21.11.2023,,,Heinrich-von-Tettingen-Straße,78216,,47.74667740058887,9.12850968983458,47.74685722749381,9.128451518225624
22.08.2023,11.09.2023,Kamorstraße,,2,Casino,30.0,,,20.09.2023,,,Kamorstraße,78456,,47.66841889592149,9.187951908737404,47.66851826338766,9.18776093500335
22.08.2023,25.09.2023,Schulthaissstraße,,10,Grenzbachstrasse,50.0,,,17.11.2023,,,Schulthaißstraße,79576,,47.660850576427535,9.165755030752084,47.66072724045707,9.166257903770054
28.08.2023,09.10.2023,Gottlieber Straße,,15,Lutherplatz,50.0,,,21.11.2023,,,Gottlieber Straße,78015,,47.661933202032905,9.16839865468497,47.66206723587671,9.168415797991893
28.08.2023,25.09.2023,Hermann-Hesse-Weg,,10,Therme,50.0,,,17.11.2023,,,Hermann-Hesse-Weg,78218,,47.665330125193705,9.205851186018826,47.665512179282445,9.205940323453827
28.08.2023,23.10.2023,Hermann-von-Vicari-Straße,,11,Jakobstr.,50.0,,,18.01.2024,,,Hermann-von-Vicari-Straße,78225,,47.67407525365957,9.199701128447291,47.67395234386456,9.199621670434988
05.09.2023,23.10.2023,Radolfzellerstraße,,65,Engelsteig,50.0,,,19.01.2024,,,Radolfzeller Straße,79184,,47.69350977989437,9.143605650058308,47.693624947446025,9.143645220870615
05.09.2023,07.11.2023,Breslauerstraße,,16,Riedstr.,50.0,,,08.11.2023,,,Breslauer Straße,77399,,47.68493918791009,9.150853819609075,47.6851804928014,9.150923560907144
05.09.2023,07.11.2023,Mainaustraße,,148,Faehre,50.0,,,08.11.2023,,,Mainaustraße,78799,,47.68141138014823,9.202455576241434,47.68150224402573,9.202231565711656
11.09.2023,27.11.2023,Fritz-Arnold-Straße,,14,TBK,30.0,,,,,,Fritz-Arnold-Straße,77896,,47.67410815183258,9.147159196880912,47.674222672251226,9.147346855584244
11.09.2023,07.11.2023,Schwaketenstraße,,3,Universitaet,50.0,,,08.11.2023,,,Schwaketenstraße,79583,,47.6901017945815,9.148085832447688,47.68999110827243,9.148079333161943
18.09.2023,07.11.2023,Sonnenbuehlstraße,,22,Mainaustr.,50.0,,,08.11.2023,,,Sonnenbühlstraße,79674,,47.67944123582759,9.187749807424089,47.679668112660536,9.187802922151851
25.09.2023,27.11.2023,Am Pfeiferhölzle,,18,Taborweg,50.0,,,,,,Am Pfeiferhölzle,77101,,47.68251298641451,9.173737351857357,47.6826545732775,9.17376542155614
25.09.2023,23.10.2023,Hofhalde,,4,Konzilstrasse,30.0,,,17.11.2023,,,Hofhalde,78267,,47.66235887692731,9.176661111960724,47.662312979608885,9.176641341752177
25.09.2023,20.11.2023,Heinrich-v.-Tettingen-Straße,,2,Ortsausgang,50.0,,,21.11.2023,,,Heinrich-von-Tettingen-Straße,78216,,47.74667740058887,9.12850968983458,47.74685722749381,9.128451518225624
25.09.2023,13.11.2023,Schulthaissstraße,,2,Gottlieberstr.,50.0,,,17.11.2023,,,Schulthaißstraße,79576,,47.66135990443596,9.166213341551517,47.66131138868661,9.166401811580474
09.10.2023,23.10.2023,Rheinsteig ,,15,Untere Laube,50.0,,durch Vandalismus  am 21./22.10. zerstoert,,,,Rheinsteig,79282,,47.66673455541066,9.175431247997556,47.66683480470138,9.175460726400887
23.10.2023,12.01.2024,Eichhornstraße,,36,Hoernle,50.0,,,,,,Eichhornstraße,77672,,47.66811970446779,9.194760239584962,47.66825923578631,9.194803472921292
23.10.2023,13.11.2023,Thomas-Sättele-Straße,,5,Bachbohlweg,30.0,,,17.11.2023,,,Thomas-Sättele-Straße,79831,,47.69040072403698,9.150004971065457,47.69049720238017,9.14998592152364
23.10.2023,08.01.2024,Alter Bannweg,,11,Taborweg,50.0,,,,,,Alter Bannweg,77049,,47.68010489410205,9.172091900994284,47.68005072612146,9.1720723861171
07.11.2023,18.01.2024,Breslauerstraße,,16,Hardtstr.,50.0,,,,,,Breslauer Straße,77399,,47.68493918791009,9.150853819609075,47.6851804928014,9.150923560907144
07.11.2023,11.01.2024,Mainaustraße,,148,Stadteinwaerts,50.0,,,21.02.2023,,,Mainaustraße,78799,,47.68141138014823,9.202455576241434,47.68150224402573,9.202231565711656
07.11.2023,11.01.2024,Schwaketenstraße,,3,Radolfzellerstr.,50.0,,"Geraet misst in den 50 km/h-Bereich rein, Statistik deswegen nur bedingt aussagekraeftig",23.02.2024,,,Schwaketenstraße,79583,,47.6901017945815,9.148085832447688,47.68999110827243,9.148079333161943
07.11.2023,08.01.2024,Untere Laube,,37,Rheinsteig,50.0,,,21.02.2023,,,Untere Laube,79898,,47.66371740951067,9.173379821409856,47.66376824512998,9.17326063537802
07.11.2023,08.01.2024,Mannheimerstraße,,30,Muehlenweg,50.0,,,Keine Rohdaten!!!,,,Mannheimer Straße,78249,,47.68683492067935,9.14426864480514,47.6876322,9.1442251
13.11.2023,08.01.2024,Sonnenbuehlstraße,,68,Friedrichstr.,40.0,,,10.01.2024,,,Sonnenbühlstraße,79674,,47.67737745575894,9.19470129572708,47.67750762495834,9.1948071863913
13.11.2023,16.01.2024,Thomas-Sättele-Straße,,5,Benedikt-Bauer-Str.,40.0,,,08.10.2024,,,Thomas-Sättele-Straße,79831,,47.69040072403698,9.150004971065457,47.69049720238017,9.14998592152364
27.11.2023,11.01.2024,Schwaketenstraße,,110,Universitaet,50.0,,,,,,Schwaketenstraße,79583,,47.68760694400213,9.163948778038977,47.6878358,9.1616193
27.11.2023,30.01.2024,Bruder-Klaus-Straße,,10,von-Emmich-Str,150.0,,,,,,Bruder-Klaus-Straße,77420,,47.67334064300181,9.1733207069942,47.6732309336368,9.17328596392177
08.01.2024,11.03.2024,Alter Bannweg,,11,Friedhof,50.0,,,,,,Alter Bannweg,77049,,47.68010489410205,9.172091900994284,47.68005072612146,9.1720723861171
08.01.2024,19.03.2024,Clara-Schumann-Straße,,2,Lorettowald,30.0,,,08.10.2024,,,Clara-Schumann-Straße,77521,,47.66794550747811,9.197759342995017,47.66804753316853,9.19761912275762
08.01.2024,19.03.2024,Bodanstraße,,21,Lago,50.0,,,Keine Rohdaten!!!,,,Bodanstraße,77364,,47.65809851099117,9.173021612708942,47.65823229212101,9.173037902581092
08.01.2024,19.03.2024,Rheinsteig ,,15,Untere Laube,50.0,,,08.10.2024,,,Rheinsteig,79282,,47.66673455541066,9.175431247997556,47.66683480470138,9.175460726400887
11.01.2024,30.01.2024,Mainaustraße,,147,Stadteinwaerts,50.0,,,21.02.2024,,,Mainaustraße,78799,,47.681764553855416,9.202141299330178,47.68169605238244,9.202310178885774
11.01.2024,13.02.2024,Schwaketenstraße,,3,Radolfzellerstr.,50.0,,,26.02.2024,,,Schwaketenstraße,79583,,47.6901017945815,9.148085832447688,47.68999110827243,9.148079333161943
11.01.2024,13.02.2024,Schwaketenstraße,,110,Universitaet,50.0,,,,,,Schwaketenstraße,79583,,47.68760694400213,9.163948778038977,47.6878358,9.1616193
12.01.2024,11.03.2024,Eichhornstraße,,36,Hoernle,50.0,,,13.03.2024,,,Eichhornstraße,77672,,47.66811970446779,9.194760239584962,47.66825923578631,9.194803472921292
16.01.2024,20.03.2024,Flurweg/Egg,,5,Egger Wiese,30.0,,,08.10.2024,,,Flurweg,77833,,47.6920636313065,9.192801751401968,47.69221823881102,9.192693451785775
20.11.2023,30.01.2024,Gartenstraße,,62,Zasiusstr.,50.0,,,,,,Gartenstraße,77938,,47.66624981358255,9.16577238988592,47.6661102457351,9.165751582594153
21.11.2023,11.03.2024,Wollmatinger Straße,,43,Zaehringerplatz,50.0,,Daten (11.03.24 bis 10:00 Uhr) werden noch gezogen,Rohdaten fehlen,,,Wollmatinger Straße,80038,,47.67663219705732,9.176849305740916,47.67680919657132,9.17691629092158
18.01.2024,12.02.2024,Breslauer Straße,,16,Hardtstr.,50.0,,,28.02.2024,,,Breslauer Straße,77399,,47.68493918791009,9.150853819609075,47.6851804928014,9.150923560907144
30.01.2024,09.04.2024,Mainaustraße,,90,Faehre,50.0,,,24.04.2024,,,Mainaustraße,78799,,47.67666162775284,9.198829440117796,47.67664605715552,9.198647415701307
30.01.2024,09.04.2024,Bruder-Klaus-Straße,,2,Schneckenburgstr-,50.0,,,24.04.2024,,,Bruder-Klaus-Straße,77420,,47.672609434281,9.175546851887622,47.67252766934005,9.175520807312251
30.01.2024,09.04.2024,Gartenstraße,,62,Neue Bruecke,50.0,,,24.04.2024,,,Gartenstraße,77938,,47.66624981358255,9.16577238988592,47.6661102457351,9.165751582594153
12.02.2024,27.02.2024,Kindlebildstraße,,26,Radolfzellerstr.,50.0,,,20.06.2024,,,Kindlebildstraße,78512,,47.69188252921165,9.141157372897077,47.6918589,9.1423292
13.02.2024,29.04.2024,Radolfzeller Straße,,20,Riedstr.,50.0,,,07.05.2024,,,Radolfzeller Straße,79184,,47.69035988603817,9.147287264080314,47.69028306180859,9.14725145128156
13.02.2024,09.04.2024,Allmansdorfer Straße,,28,Mainaustr.,50.0,,,24.04.2024,,,Allmannsdorfer Straße,77014,,47.6735630457767,9.186697080252603,47.67369194517152,9.18668449750901
27.02.2024,19.03.2024,Kindlebildstraße,,52,Reichenau,70.0,,,20.06.2024,,,Kindlebildstraße,78512,,47.69005401182977,9.13449836067146,47.68979294457844,9.134638465838226
11.03.2024,29.04.2024,Torkelbergstraße,,7,H.-M.-Schleyer-Str.,50.0,,,08.05.2024,,,Torkelbergstraße,79849,,47.711115588590665,9.171702572087153,47.711227892695405,9.171713814457595
11.03.2024,13.05.2024,Eichhornstraße,,36,Mainaustr.,50.0,,,20.06.2024,,,Eichhornstraße,77672,,47.66811970446779,9.194760239584962,47.66825923578631,9.194803472921292
11.03.2024,20.03.2024,Wollmatinger Straße,,43,Friedhof,50.0,,,Rohdaten fehlen,,,Wollmatinger Straße,80038,,47.67663219705732,9.176849305740916,47.67680919657132,9.17691629092158
19.03.2024,29.04.2024,Clara-Schumann-Straße,,2,Eichhornstrasse,30.0,,,05.09.2024,,,Clara-Schumann-Straße,77521,,47.66794550747811,9.197759342995017,47.66804753316853,9.19761912275762
19.03.2024,13.05.2024,Rheinsteig ,,15,Bruecke,50.0,,,Keine Rohdaten!,,,Rheinsteig,79282,,47.66673455541066,9.175431247997556,47.66683480470138,9.175460726400887
19.03.2024,13.05.2024,Hoheneggstraße,,7,Staaderstr.,50.0,,,20.06.2324,,,Hoheneggstraße,78274,,47.68062326117096,9.207149901072466,47.68061218539522,9.207315868612724
19.03.2024,21.05.2024,Kindlebildstraße,,30,Radolfzellerstr.,50.0,,,20.06.2024,,,Kindlebildstraße,78512,,47.69178181511828,9.140375104825967,47.69169824092223,9.140382543964217
20.03.2024,29.04.2024,Flurweg/Egg,,5,Mainaustr.,30.0,,,Keine Rohdaten!,,,Flurweg,77833,,47.6920636313065,9.192801751401968,47.69221823881102,9.192693451785775
20.03.2024,13.05.2024,Wollmatingerstraße,,43,Friedhof,50.0,,,21.06.2024,,,Wollmatinger Straße,80038,,47.67663219705732,9.176849305740916,47.67680919657132,9.17691629092158
09.04.2024,03.06.2024,Längerbohlstraße,,25,Buhlenweg,100.0,,,21.06.2024,,,Längerbohlstraße,78659,,47.68735182002323,9.154376929829777,47.68709483398752,9.15429706628598
09.04.2024,17.06.2024,Taborweg,,13,Pfeiferhoelzle,30.0,,,21.06.2024,,,Taborweg,79793,,47.68016274341405,9.169496540961882,47.68007413107302,9.169625606158132
09.04.2024,03.06.2024,Mainaustraße,,96,Stadteinwaerts,50.0,,,24.06.2024,,,Mainaustraße,78799,,47.67710139293086,9.198905851266034,47.67696359617684,9.19853358790198
09.04.2024,17.06.2024,Allmansdorfer Straße,,25,Zaehringerplatz,50.0,,,24.06.2024,,,Allmannsdorfer Straße,77014,,47.67386369601011,9.187116326868246,47.67373532224035,9.187128858302016
29.04.2024,24.06.2024,Schiffstraße,,20,Faehre,50.0,,,26.06.2024,,,Schiffstraße,79499,,47.68251659655355,9.206128109755882,47.68270726794879,9.206153623497228
29.04.2024,03.06.2024,Höriblick,,9,Stifterstr.,50.0,,,16.10.2024,,,Höriblick,78260,,47.68825446566335,9.15017458107316,47.68817727472716,9.150133269058175
29.04.2024,01.07.2024,Radolfzeller Straße,,20,Kindlebildstrasse,50.0,,,13.08.2024,,,Radolfzeller Straße,79184,,47.69035988603817,9.147287264080314,47.69028306180859,9.14725145128156
13.05.2024,08.07.2024,Eichhornstraße,,84,Hoernle,50.0,,,13.08.2024,,,Eichhornstraße,77672,,47.66683687140419,9.20938813739918,47.66701138378573,9.209378076761665
13.05.2024,15.07.2024,Hoheneggstraße,,7,Schiffstrasse,50.0,,,14.08.2024,,,Hoheneggstraße,78274,,47.68062326117096,9.207149901072466,47.68061218539522,9.207315868612724
13.05.2024,24.06.2024,Stockackerweg,,78,Am Pfeiferhoelzle,50.0,,,08.10.2024,,,Stockackerweg,79772,,47.68255280148504,9.177528724878533,47.68245846325169,9.177489777901462
13.05.2024,15.07.2024,Reichenaustraße,,83,Flughafen,50.0,,,14.08.2024,,,Reichenaustraße,79240,,47.67487343907519,9.152102000466382,47.675277952914456,9.152292515879443
25.10.2022,21.11.2022,Zeller Straße (Dettingen),,15,Langenrainer Strasse,100.0,,,,,,Zellerstraße,80062,,47.737877000728766,9.11010477775562,47.738001459530686,9.110071406535987
24.07.2023,15.08.2023,Zellerstraße,,15,Langenrainerstr.,50.0,,,20.09.2023,,,Zellerstraße,80062,,47.737877000728766,9.11010477775562,47.738001459530686,9.110071406535987
15.08.2023,11.09.2023,Zellerstraße,,15,Ortsausgang,30.0,,,20.09.2023,,,Zellerstraße,80062,,47.737877000728766,9.11010477775562,47.738001459530686,9.110071406535987
21.05.2024,22.07.2024,Kindlebildstraße,,30,ZPR,50.0,,,14.08.2024,,,Kindlebildstraße,78512,,47.69178181511828,9.140375104825967,47.69169824092223,9.140382543964215
03.06.2024,22.07.2024,Längerbohlstraße,,25,Hoeriblick,100.0,,,16.08.2024,,,Längerbohlstraße,78659,,47.68735182002323,9.154376929829777,47.687094833987516,9.15429706628598
03.06.2024,17.06.2024,Mainaustraße,,96,Stadteinwaerts,50.0,,"Daten nicht Aussagefaehig, Umstellung 30 km/h-50 km/h",24.06.2024 nicht Aussagefaehig,,,Mainaustraße,78799,,47.67710139293086,9.198905851266034,47.67696359617684,9.198533587901979
03.06.2024,22.07.2024,Muehlbachweg,,12,Ortsmitte,50.0,,,16.10.2024,,,Mühlbachweg,78989,,47.73892156766277,9.154219460885392,47.73885883879331,9.154170444691868
06.05.2024,24.06.2024,Zum Hussenstein,,7,Zoll/CH,50.0,,Geraet ab 24.06.24 Defekt!!!,16.10.2024,,,Zum Hussenstein,80101,,47.66153406320522,9.164553711515698,47.661580131838186,9.164384677734587
17.06.2024,12.08.2024,Am Pfeiferhölzle,,18,Stockackerweg,50.0,,Unfall Bus 02.07.23/ Halterung erneuert Test OK,13.08.2024,,,Am Pfeiferhölzle,77101,,47.68251298641451,9.173737351857357,47.6826545732775,9.173765421556139
17.06.2024,01.07.2024,Mainaustraße,,96,Stadteinwaerts,50.0,,,04.09.2024,,,Mainaustraße,78799,,47.67710139293086,9.198905851266034,47.67696359617684,9.198533587901979
24.06.2024,19.08.2024,Schiffstraße,,20,Mainaustr.,50.0,,,04.09.2024,,,Schiffstraße,79499,,47.68251659655355,9.206128109755882,47.68270726794879,9.206153623497228
24.06.2024,12.08.2024,Griesseggstraße,,11,Gartenstr.,50.0,,,16.10.2024,,,Grießeggstraße,78036,,47.664214344552335,9.1607810130245,47.664181278806396,9.16092370937471
01.07.2024,26.08.2024,Radofzeller Straße,,63,Engelsteig,50.0,,,04.09.2024,,,Radolfzeller Straße,79184,,47.6934357084638,9.143837600860111,47.69355782914597,9.14387128577202
01.07.2024,16.09.2024,Buhlenweg,,11,Schwaketenstr.,50.0,,,26.09.2024,,,Buhlenweg,77490,,47.68429661664349,9.15921258771495,47.6842028344144,9.15930156059896
01.07.2024,19.08.2024,Jacob-Burckhard-Straße,,23,Friedrichstr.,50.0,,,04.09.2024,,,Jacob-Burckhardt-Straße,78414,,47.68141317399362,9.187637767557288,47.68131368105249,9.18761901741526
08.07.2024,19.08.2024,Eichhornstraße ,,84,Rosenau,50.0,,,04.09.2024,,,Eichhornstraße,77672,,47.66683687140419,9.20938813739918,47.667011383785734,9.209378076761663
15.07.2024,26.08.2024,Reichenaustraße,,83,Adam-Opel-Str.,50.0,,,04.09.2024,,,Reichenaustraße,79240,,47.67487343907519,9.152102000466382,47.675277952914456,9.152292515879445
22.07.2024,30.09.2024,Buecklestraße,,70,Oberlohnstrasse,50.0,,,09.10.2024,,,Bücklestraße,77476,,47.67700703536224,9.16988573497065,47.6768788292932,9.169847774986634
22.07.2024,30.09.2024,Mainaustraße ,,30,Faehre,50.0,,,09.10.2024,,,Mainaustraße,78799,,47.66904474859532,9.184140448634734,47.669212429119895,9.184102000173475
12.08.2024,02.09.2024,Griesseggstraße,,11,Gottlieber Zoll,50.0,,,04.09.2024,,,Grießeggstraße,78036,,47.664214344552335,9.1607810130245,47.664181278806396,9.16092370937471
12.08.2024,30.09.2024,Breslauer Straße ,,16,Riedstrasse,50.0,,,16.10.2024,,,Breslauer Straße,77399,,47.68493918791009,9.150853819609075,47.6851804928014,9.150923560907145
19.08.2024,07.10.2024,Mainaustraße,,148,Staad,50.0,,,16.10.2024,,,Mainaustraße,78799,,47.68141138014823,9.202455576241434,47.68150224402573,9.202231565711655
19.08.2024,02.09.2024,Sonnenbuehlstraße,,36,Friedrichstrasse,50.0,,Spionmodus,26.09.2024,,,Sonnenbühlstraße,79674,,47.67874215451511,9.19007565058044,47.67909668198894,9.190158681526388
19.08.2024,07.10.2024,Eichhornstraße ,,10,Mainaustr.,50.0,,,16.10.2024,,,Eichhornstraße,77672,,47.66940095318784,9.189673146312746,47.6695673325974,9.189712928390668
26.08.2024,09.09.2024,Schwaketenstraße,,3,Radolfzeller Str.,100.0,,Schulferien,26.09.2024,,,Schwaketenstraße,79583,,47.6901017945815,9.148085832447688,47.68999110827243,9.148079333161945
26.08.2024,15.10.2024,Sonnentauweg,,35,Buhlenweg,100.0,,,06.11.2024,,,Sonnentauweg,79688,,47.68353834567424,9.16621742554235,47.68364279893194,9.16626875121099
26.08.2024,15.10.2024,An der Steig,,5,Hermann-von-Vicari,40.0,,,16.10.2024,,,An der Steig,77140,,47.67660645757403,9.199252622520865,47.67664862148661,9.199357582008108
02.09.2024,09.09.2024,Fritz-Arnold-Straße,,17,Siemensstr.,50.0,,,26.09.2024,,,Fritz-Arnold-Straße,77896,,47.67397485984802,9.147677444457978,47.6738951059586,9.14754675587291
02.09.2024,30.09.2024,Sonnenbuehlstraße,,36,Friedrichstrasse,50.0,,,16.10.2024,,,Sonnenbühlstraße,79674,,47.67874215451511,9.19007565058044,47.67909668198894,9.190158681526388
02.09.2024,05.11.2024,Karlsruher Straße,,15,Hardtstrasse,50.0,,,06.11.2024,,,Karlsruher Straße,78484,,47.68457129723343,9.149528824935336,47.68432426872023,9.149477109203046
02.09.2024,30.09.2024,Mannheimer Straße,,5,Muehlenweg,70.0,,,16.10.2024,,,Mannheimer Straße,78249,,47.68525600433985,9.143912516616613,47.68513271658822,9.14409980690321
09.09.2024,05.11.2024,Fritz-Arnold-Straße,,17,Siemensstr.,50.0,,,06.11.2024,,,Fritz-Arnold-Straße,77896,,47.67397485984802,9.147677444457978,47.6738951059586,9.14754675587291
09.09.2024,11.11.2024,Schwaketenstraße,,3,Radolfzeller Str.,100.0,,,12.11.2024,,,Schwaketenstraße,79583,,47.6901017945815,9.148085832447688,47.68999110827243,9.148079333161945
16.09.2024,11.11.2024,Buhlenweg,,11,Fuerstenbergstr.,50.0,,,27.11.2024,,,Buhlenweg,77490,,47.68429661664349,9.15921258771495,47.6842028344144,9.15930156059896
30.09.2024,19.11.2024,Breslauerstraße,,16,Hardstr.,50.0,,,27.11.2024,,,Breslauer Straße,77399,,47.68493918791009,9.150853819609075,47.6851804928014,9.150923560907145
30.09.2024,28.10.2024,Kreuzlingerstraße,,42,Emmishoferstr.,50.0,,,06.11.2024,,,Kreuzlinger Straße,78624,,47.65684712222796,9.171993890626366,47.656907466786194,9.172045112227769
30.09.2024,25.11.2024,Mainaustraße,,30,Egg,50.0,,,27.11.2024,,,Mainaustraße,78799,,47.66904474859532,9.184140448634734,47.669212429119895,9.184102000173475
30.09.2024,25.11.2024,Sonnenbuehlstraße,,36,Mainaustr.,50.0,,,27.11.2024,,,Sonnenbühlstraße,79674,,47.67874215451511,9.19007565058044,47.67909668198894,9.190158681526388
30.09.2024,19.11.2024,Buecklestraße,,70,Schneckenburgstr.,50.0,,,27.11.2024,,,Bücklestraße,77476,,47.67700703536224,9.16988573497065,47.6768788292932,9.169847774986634
30.09.2024,25.11.2024,Reichenaustraße,,7,Schneckenburgstr.,50.0,,,27.11.2024,,,Reichenaustraße,79240,,47.67106178632643,9.17050305879258,47.671162196148096,9.17052215373378
07.10.2024,02.12.2024,Mainaustraße,,148,stadteinwaerts,50.0,,,02.12.2024,,,Mainaustraße,78799,,47.68141138014823,9.202455576241434,47.68150224402573,9.202231565711655
07.10.2024,02.12.2024,Wollmatingerstraße,,70,Taborweg,50.0,,,11.12.2024,,,Wollmatinger Straße,80038,,47.679095812045865,9.170941852743528,47.67899768378815,9.170917925106185
15.10.2024,05.11.2024,An der Steig,,5,Oberstegle,40.0,,,16.11.2024,,,An der Steig,77140,,47.67660645757403,9.199252622520865,47.67664862148661,9.199357582008108
15.10.2024,02.12.2024,Reutestraße,,54,Hardtstrasse,50.0,,,Rohdaten fehlerhaft!,,,Reutestraße,79261,,47.681691551217845,9.15424591129636,47.68184310122441,9.154306309197885
28.10.2024,02.12.2024,Kreuzlinger Straße,,24,Emmishofer Strasse,30.0,,Neuer 30 km/h Bereich,07.01.2025,,,Kreuzlinger Straße,78624,,47.65725757416249,9.171228274056473,47.6573987487608,9.17132202957958
05.11.2024,13.01.2025,Rheingutstraße,,39,HTWG,50.0,,,14.01.2025,,,Rheingutstraße,79275,,47.66730835045317,9.165179261925037,47.66742986289432,9.165193242857715
05.11.2024,27.01.2025,Wallgutstraße,,38,Obere Laube,30.0,,Baustelle,29.01.2025,,,Wallgutstraße,79947,,47.66499642171574,9.165467530908463,47.664854611064044,9.165443204843076
05.11.2024,16.12.2024,Schwaketenstraße,,110,Universitaet,50.0,,,07.01.2025,,,Schwaketenstraße,79583,,47.68760694400213,9.163948778038977,47.6878358,9.1616193
11.11.2024,11.12.2024,Jungerhalde,,26,AWO Pflegeheim,50.0,,,07.01.2025,,,Jungerhalde,78442,,47.68202969261274,9.198130874872062,47.6819703,9.1981607
11.11.2024,13.01.2025,Mainaustraße Egg,,210,Ortsmitte,30.0,,,14.01.2025,,,Mainaustraße,78799,,47.69052086885159,9.194041659150642,47.69040547213561,9.19385175752264
19.11.2024,03.02.2025,Allmannsdorferstraße,,82,Zaehringerplatz,50.0,,Neuer 30 km/h Bereich,04.02.2025,,,Allmannsdorfer Straße,77014,,47.67366770242871,9.191439630333344,47.673815822554246,9.191444288978765
19.11.2024,03.02.2025,Zähringerplatz,,1,Allmannsdorferstr.,30.0,,Neuer 30 km/h Bereich,04.02.2025,,,Zähringerplatz,80045,,47.67172730524479,9.182859445835533,47.671565621411496,9.183071338746801
25.11.2024,03.02.2025,Im Loh,,14,Ortsmitte,30.0,,Neuer 30 km/h Bereich,04.02.2025,,,Im Loh,78358,,47.70950027486499,9.17143917891588,47.70927867566478,9.171622963555606
25.11.2024,03.02.2025,Theodor-Heuss-Straße,,27,Sternenplatz,50.0,,Neuer 30 km/h Bereich,04.02.2025,,,Theodor-Heuss-Straße,79828,,47.67022554186982,9.18203935639752,47.67013102119796,9.18214809495903
