Start;Ende;"GeDi 
Nummer";ohne Panel;Strasse;Geschwindigkeit;Haus-Nr.;Fahrtrichtung;"Reichweite 
in Meter";"Akkuwechsel
oder Dateiname";;;;;
06.02.2025;24.03.2025;9256;;Wollmatingerstr.;40;70;Steinstrasse;50;;neuer 40 km/h Bereich !!!;27.03.2025;;;
10.02.2025;24.03.2025;5797;;Wollmatingerstr.;40;151-153;Oberlohnstr.;50;;neuer 40 km/h Bereich !!!;27.03.2025;;;
10.02.2025;31.03.2025;8100;;Fuerstenbergstr.;30;16;Riedstr.;50;;Zeitumstellung 31.03.25;24.04.2025;;;
24.02.2025;15.04.2025;9621;;Riedstrasse;30;34;Fuerstenbergstr.;50;;neuer 30 km/h Bereich !!! Zeitumstellung 31.03.25;15.04.2025;;;
24.02.2025;19.03.2025;8815;;Schiffstr.;30;12;Mainaustr.;50;;neuer 30 km/h Bereich !!!/Baustelle;19.03.2025;;;
10.03.2025;14.04.20205;Viasis;;Hoehenweg;10;2;Friedrichstr.;30;;Zeitumstellung,31.03.25;24.04.2025;;;
10.03.2025;;2262;;Konzilstr.;30;Haltestelle;Bahnhof;50;;Zeitumstellung,31.03.25;;;;
17.03.2025;14.04.2025;Viasis;;Bohlstr. Dingelsdorf;10;6;Campingplatz;50;;Zeitumstellung,31.03.25;24.04.2025;;;
17.03.2025;;6047;;Bodanstr.;30;21;Bodanplatz;50;;Zeitumstellung,31.03.25;;;;
19.03.2025;;8815;;Schiffstr.;30;20;Faehre;50;;neuer 30 km/h Bereich !!! Zeitumstellung 31.03.25;;;;
24.03.2025;;9018;;Gartenstr.;30;Seniorenzentrum;Zasiusstr.;50;;Zeitumstellung,31.03.25;;;;
24.03.2025;;1415;;Griesseggstr.;30;7;Zoll;50;;Zeitumstellung,31.03.25;;;;
24.03.2025;;8710;;Radolfzellerstr.;30;63;Engelsteig;50;;Zeitumstellung,31.03.25;;;;
24.03.2025;;9256;;Mainaustr.;40;74;Staad;50;;neuer 40 km/h Bereich !!! Zeitumstellung 31.03.25;;;;
24.03.2025;;5794;;Wollmatingerstr.;40;151-153;Friedhof;50;;neuer 40 km/h Bereich !!! Zeitumstellung 31.03.25;;;;
31.03.2025;;8100;;H.-v.-Vicari-Strasse;30;KIGA/Kirche;Jakobstrasse;50;;;;;;
01.04.2025;;0751;;Radolfzellerstrasse;30;91;Ortsausgang;50;;neuer 30 km/h Bereich;;;;
15.04.2025;;9621;;Wollmatingerstrasse;40;28;Friedhof;50;;neuer 40 km/h Bereich;;;;
14.04.2025;;Viasis;;Hoehenweg;10;6;Sonnenhaldenschule;20;;;;;;
14.04.2025;;Viasis;;Austrasse;30;;Buecklestr.;30;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
