Start;Ende;"GeDi 
Nummer";ohne Panel;Strasse;Geschwindigkeit;Haus-Nr.;Fahrtrichtung;"Reichweite 
in Meter";"Akkuwechsel
oder Dateiname";;;;;
09.03.2021;01.04.2021;Viasis;;Flurweg/Egg;10;5a;Wolfsried;30;;;Viasis;;;
09.03.2021;31.05.2021;8710;;Mainaustr. Ortseingang;30;;Schiffstr.;40;;;;;;
09.03.2021;03.05.2021;8816;;Schneckenburgstr. ;50;33;Friedhof;50;;;;;;
23.03.2021;26.04.2021;1415;;Riedstr.;50;19-21;Fuersenbergstr.;40;;;;;;
23.03.2021;14.06.2021;0052;;Untere Laube;30;Muensterkindergarten;Rheinsteig;40;;;;;;
23.03.2021;31.05.2021;8815;;Radolfzellerstr.;30;Roessle;Ortsausgang;40;;;;;;
01.04.2021;26.04.2021;Viasis;;Flurweg/Egg;10;5a;Auswaerts;30;;;Viasis;;;
06.04.2021;03.05.2021;Viasis;;Hebelstrasse;30;14;Eichhornstrasse;40;;;Viasis;;;
26.04.2021;21.06.2021;1415;;Radolfzellerstr.;30;65;Stadteinwaerts;50;;;;;;
26.04.2021;31.05.2021;Viasis;;Gartenstr.;30;24;Untere Laube;40;03.05.2021;;Viasis;;;
26.04.2021;21.06.2021;5797;;Friedrichstr.;50;71;Universitaetsstr.;80;;;;;;
26.04.2021;21.06.2021;6047;;Fuerstenbergstr.;50;51;Radolfzellerstr.;60;;;;;;
03.05.2021;14.06.2021;9621;;Jakobstr. ;40;Hoehe Wasserwerk;Stadion;50;;;;;;
03.05.2021;21.06.2021;8816;;Byk-Gulden-Str.;50;25;Max-Stromeyer-Str.;80;;;;;;
03.05.2015;14.06.2021;0715;;Reichenaustr.;"Tags 50 ; Nachts 30";Hoehe Hollys;Stadteinwaerts;50;;;;;;
03.05.2021;28.06.2021;9256;;Von-Emmich-Str.;30;8;Bruder-Klaus-Str.;40;;;;;;
03.05.2021;14.06.2021;Viasis;;Brandesstr.;30;2;Haendelstr.;50;07.06.2021;;Viasis;;;
10.05.2021;19.07.2021;9018;;Buhlenweg;30;13;GSS;50;;;;;;
10.05.2021;31.05.2021;0491;;Schwaketenstr.;50;;Grundschule;80;;;;;;
31.05.2021;19.07.2021;8710;;Wollmatinger Str.;50;89;Fuertenbergstr.;50;;;;;;
31.05.2021;28.06.2021;8815;;Litzelstetter Str;30;40a;Ortsausgang;50;;;;;;
31.05.2021;28.06.2021;Viasis;;Gartenstr.;30;Handelisgartenweg;Neue Bruecke;50;07.06.2021;;Viasis;;;
31.05.2021;21.06.2021;0491;;Schwaketenstr.;50;95;Universitaetsstr.;80;;;;;;
14.06.2021;09.08.2021;0052;;Mainaustr;30;148;Faehre;40;;;;;;
14.06.2021;19.07.2021;Viasis;;Zeppelinstr.;30;8;Hebelstr;50;;;Viasis;;;
14.06.2021;17.08.2021;0715;;Am Pfeiferhoelzle;30;15;Stockackerweg;80;;;;;;
14.06.2021;19.07.2021;9621;;Jakobstr. ;40;Hoehe Wasserwerk;Lindauerstr.;50;;;;;;
21.06.2021;17.08.2021;1415;;Kindlebildstr.;50;28;Radolfzellerstr.;100;;;;;;
21.06.2021;09.08.2021;5797;;Friedrichstr.;50;71;Zaehringerplatz;50;;Blindmessung seit 05.08.21;;;;
21.06.2021;17.08.2021;6047;;Fuerstenbergstr.;50;51;Buhlenweg;100;;;;;;
21.06.2021;09.08.2021;8816;;Byk-Gulden-Str.;50;25;Stadtauswaerts;100;;;;;;
21.06.2021;17.08.2021;0491;;Stifterstr. ;30;8;Radolfzellerstr.;50;;;;;;
28.06.2021;23.08.2021;9256;;Am Briel;30;56-58;Bismarksteig;40;;;;;;
28.06.2021;19.07.2021;Viasis;;Am Pfeiferhoelzle;30;2;Universitaetsstr.;50;;Statistik Komplett;Viasis;;;
28.06.2021;28.09.2021;8815;;H.-von-Vicari-Str.;30;19;Jakobstr.;50;23.08.2021;;;;;
19.07.2021;31.08.2021;9018;;Buhlenweg;30;13;Fuerstenberg;50;;;;;;
19.07.2021;13.09.2021;8710;;Wollmatinger Str.;50;89;Stadteinwaerts;100;;;;;;
19.07.2021;13.09.2021;9621;;Brueelstrasse ;30;20;Feldstr. ;50;;;;;;
19.07.2021;16.08.2021;Viasis;;Am Pfeiferhoelzle;30;2;Friedhof;50;;;Viasis;;;
19.07.2021;16.08.2021;Viasis;;Beethofenstr.;30;17;Mainaustr.;50;;;Viasis;;;
09.08.2021;28.09.2021;0052;;Eichhornstr.;30;Rosenau;Hoernle;80;;;;;;
09.08.2021;11.10.2021;5797;;Jakobstr. ;40;;Hoernle;50;;Blindmessung;;;;
09.08.2021;11.10.2021;8816;;Zur Torkel;30;;Eichhornstrasse;40;;;;;;
16.08.2021;04.10.2021;Viasis;;Blumenstrasse;Verkehrsberuhigt;13,11,9;Holdersteig ;40;23.08.2021;;Viasis;;;
16.08.2021;28.09.2021;Viasis;;Kreuzlingerstr.;Verkehrsberuhigt;7;Schnetztor;20;23.08.2021;;Viasis;;;
17.08.2021;13.09.2021;0715;;Am Pfeiferhoelzle;30;15;Taborweg;50;;;;;;
17.08.2021;11.10.2021;1415;;Kindlebildstr.;50;28;Reichenau;50;;;;;;
17.08.2021;04.10.2021;6047;;Winkelstrasse;30;3;Fuerstenbergstr.;30;;;;;;
17.08.2021;04.10.2021;0491;;Stifterstr. ;30;8;Gabelsbergerstr. ;50;;;;;;
23.08.2021;02.11.2021;9256;;Konzilstr.;30;La Piazza;Sternenplatz;50;;;;;;
31.08.2021;18.10.2021;9018;;Breslauer Str.;30;Schule;Riedstr.;50;;;;;;
13.09.2021;02.11.2021;8710;;Schwaketenstr.;"Tags 50 ; Nachts 30";Schule;Radolfzellerstr.;50;;;Statistik erfasst Tag/Nacht nicht;;;
13.09.2021;08.11.2021;4621;;Untere Laube;30;Schule;Rheinsteig;50;;;;;;
13.09.2021;18.10.2021;0715;;Fritz-Arnold-Str.;50;Schule;Robert-Bosch-Strasse;50;;;;;;
28.09.2021;18.10.2021;Viasis;;Mannheimer Str.;10;KIKA;Muehlenweg;40;;;Viasis;;;
